activity_id,activity_name,activity_category,met_value,calories_per_kg_per_hour,intensity_level,is_cardio,equipment_needed,location,recommended_duration,recommended_frequency,diet_targets,calories_70kg_30min
19345,"Rollerskiing, >10 km/h, 6-10 degree incline",Rollerskiing,16.0,16.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",560.0
1004,"Bicycling, mountain, competitive racing",Cycling,16.0,16.0,Berat,True,None,Outdoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",560.0
12350,"Running, hilly terrain, ±100m change in elevation ",Running,16.0,16.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",560.0
18180,"Skindiving, fast ",Skindiving,15.8,15.8,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",553.0
15528,"Race Walking, racing speed, 4.0 m/s (8.95 mph)",Walking,15.5,15.5,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",542.5
18112,"Rowing, simulated crew in a water tank, single oar, 33 strokes/min, ",Rowing,15.5,15.5,Berat,True,Rowing machine,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",542.5
19130,"Skiing, cross country, hard snow, uphill, maximum, snow mountaineering",Skiing,15.5,15.5,Berat,False,None,Outdoor,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",542.5
12265,"Running uphill, 7.0 mph, 5% incline",Running,15.5,15.5,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",542.5
18114,"Rowing, single scull, ergometer, ergometer on slides, racing speed (32+ strokes/min, >10 mph)",Rowing,15.5,15.5,Berat,True,Rowing machine,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",542.5
17039,"Climbing hills, no load, very steep grade (30-40%), 1.2 to 1.8 mph",Climbing hills,15.5,15.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",542.5
15594,"Rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort",Rollerblading,15.5,15.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",542.5
12170,"Running, stairs, up",Running,15.0,15.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",525.0
19325,"Rollerskiing, 24 - 27.9 km/h, no incline",Rollerskiing,15.0,15.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",525.0
12343,"Running uphill, 1.4 to 1.59 mph, 30% incline",Running,14.8,14.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",518.0
12120,"Running, 10 mph (6 min/mile)",Running,14.8,14.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",518.0
12115,"Running, 9.3 to 9.6 mph",Running,14.8,14.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",518.0
18294,"Swimming, crawl, elite swimmers, competition, >90 yards/minute",Swimming,14.5,14.5,Berat,True,Swimming pool,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",507.5
19335,"Rollerskiing, 16-22 km/h, 2-5 degree incline",Rollerskiing,14.3,14.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",500.5
15432,"Taekwondo, combat simulation",Taekwondo,14.3,14.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",500.5
19110,"Skiing, cross country, elite skier, >8.0-11.9 mph, racing",Skiing,14.0,14.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",490.0
12414,"Running curved treadmill, 8.0 to 8.9 mph",Running,14.0,14.0,Berat,True,Treadmill,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",490.0
2074,"Rowing, stationary, ? 200 watts, very vigorous effort",Rowing,14.0,14.0,Berat,True,Stationary bike,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",490.0
18390,"Windsurfing, competition, pumping for speed ",Windsurfing,14.0,14.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",490.0
19018,"Skating, ice dancing",Skating,14.0,14.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",490.0
1003,"Bicycling, mountain, uphill, vigorous",Cycling,14.0,14.0,Berat,True,None,Outdoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",490.0
15527,"Race Walking, 3.7 m/s (8.3 mph)",Walking,13.8,13.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",483.0
19050,"Skating, speed, competitive",Skating,13.8,13.8,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",483.0
1244,"Bicycling, stationary, 270-305 watts, very vigorous",Cycling,13.8,13.8,Berat,True,Stationary bike,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",483.0
18270,"Swimming, butterfly, general ",Swimming,13.8,13.8,Berat,True,Swimming pool,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",483.0
12361,"Running downhill, 8.0 to 10.5 mph, -3% to -9%",Running,13.8,13.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",483.0
19140,"Skiing, cross-country, biathlon, skating technique",Skiing,13.5,13.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",472.5
18104,"Kayaking, competition",Kayaking,13.5,13.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",472.5
12341,"Running uphill, 1.2 to 1.39 mph, 30-40% incline",Running,13.5,13.5,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",472.5
12565,"Running, barefoot, 8.0-8.9 mph",Running,13.5,13.5,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",472.5
19135,"Skiing, cross-country, skating",Skiing,13.3,13.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",465.5
12200,"Running, marathon",Running,13.3,13.3,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",465.5
12260,"Running uphill, 6.0 mph, 5% incline",Running,13.3,13.3,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",465.5
2288,"Blackbox Immersive virtual reality exergaming system, vigorous intensity",Blackbox Immersive virtual reality exergaming system,13.0,13.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",455.0
12620,"Triathlon, Running",Running,13.0,13.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",455.0
12110,"Running, 9 mph (6.5 min/mile)",Running,13.0,13.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",455.0
3039,"ballroom dance, DanceSport competition (modern waltz, tango, Viennese waltz, slow fox, quick step, samba, chacha, rumba, paso doble, jive)",ballroom dance,13.0,13.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",455.0
19144,"Biathlon training, 5 degree incline, 10.7 km/h (5 mph), with/without rifle",Biathlon training,12.8,12.8,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",448.0
19142,"Biathlon training, 5 degree incline, 8 km/h (5 mph), with/without rifle",Biathlon training,12.8,12.8,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",448.0
12100,"Running, 8.6 mph (7 min/mile)",Running,12.5,12.5,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",437.5
1240,"Bicycling, stationary, 230-250 watts, very vigorous",Cycling,12.5,12.5,Berat,True,Stationary bike,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",437.5
18060,"Canoeing, rowing, kayaking, competition, > 6 mph, vigorous effort ",Canoeing,12.5,12.5,Berat,True,Rowing machine,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",437.5
19300,"Skiing, roller, elite racers",Skiing,12.5,12.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",437.5
19330,"Rollerskiing, 10-15 km/h, 2-5 degree incline",Rollerskiing,12.5,12.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",437.5
15550,"Rope jumping, fast pace, 120-160 skips/min",Rope jumping,12.3,12.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",430.5
15100,"Boxing, in ring, general",Boxing,12.3,12.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",430.5
19340,"Rollerskiing, 6-9 km/h, 6-10 degree incline",Rollerskiing,12.3,12.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",430.5
17315,"Walking, for exercise, with ski poles, Nordic walking, uphill, carrying 20 to 30 lb load (9.0 to 15.0 kg)",Walking,12.3,12.3,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",430.5
15593,"Roller blading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training",Roller blading,12.3,12.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",430.5
1050,"Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general",Cycling,12.0,12.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",420.0
12514,"Running, 8.0 - 8.9 mph, 1.0 to 3.0 kg backpack",Running,12.0,12.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",420.0
12560,"Running, barefoot, 6.0-7.9 mph",Running,12.0,12.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",420.0
12090,"Running, 8 mph (7.5 min/mile)",Running,12.0,12.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",420.0
15320,"Handball, general (Taylor Code 520)",Handball,12.0,12.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",420.0
15650,Squash (Taylor Code 530),Squash (Taylor Code 530),12.0,12.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",420.0
11495,"Skindiving or SCUBA diving as a frogman,  Navy Seal ",Skindiving or SCUBA diving as a frogman,12.0,12.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",420.0
12412,"Running curved treadmill, 7.0 to 7.9 mph",Running,12.0,12.0,Berat,True,Treadmill,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",420.0
18080,"Canoeing or rowing, in competition, crew or sculling (Taylor Code 260) ",Canoeing or rowing,12.0,12.0,Berat,True,Rowing machine,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",420.0
17030,"Carrying load, >74 lb load, upstairs",Carrying load,12.0,12.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",420.0
15420,Jai alai,Jai alai,12.0,12.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",420.0
15551,"Rope jumping, moderate pace, general, 100 to 120 skips/min, 2 foot skip, plain bounce",Rope jumping,11.8,11.8,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",413.0
12339,"Running uphill, 1.0 to 1.19 mph, 30% incline",Running,11.8,11.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",413.0
18190,"Skindiving, moderate ",Skindiving,11.8,11.8,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",413.0
12080,"Running, 7.5 mph (8 min/mile)",Running,11.8,11.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",413.0
12595,"Running, jogging stroller, outdoors, 6 mph",Running,11.5,11.5,Berat,True,None,Outdoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",402.5
12600,"Skipping, 5.5-6.0 mph",Skipping,11.5,11.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",402.5
15446,"Kendu, kakari keiko style, very high intensity",Kendu,11.3,11.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",395.5
19100,"Skiing, cross country, 5.0-7.9 mph, brisk speed, vigorous effort",Skiing,11.3,11.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",395.5
3038,"Ballroom dancing, competitive, general ",Ballroom dancing,11.3,11.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",395.5
15433,Judo ,Judo,11.3,11.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",395.5
2214,"High intensity interval exercise,  burpees, mountain climbers, squat jumps, Tabata, vigorous effort",High intensity interval exercise,11.0,11.0,Berat,False,None,Outdoor,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",385.0
11889,"Soldiers, walking,  2.8 mph, 15% grade, up to 21.5 kg load",Soldiers,11.0,11.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",385.0
19048,"Skating Treadmill, 9 - 9.9 mph, 2% grade",Skating Treadmill,11.0,11.0,Berat,True,Treadmill,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",385.0
2078,"Shuttle running, forward/backward/lateral",Shuttle running,11.0,11.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",385.0
18229,"Stand up Paddleboard, standing, 50-69 strokes/min",Stand up Paddleboard,11.0,11.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",385.0
2073,"Rowing, stationary, 150 to 199 watts, vigorous effort",Rowing,11.0,11.0,Berat,True,Stationary bike,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",385.0
1254,"Bicycling, concentric only, 200 W",Cycling,11.0,11.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",385.0
2068,"Rope skipping exercise, general",Rope skipping exercise,11.0,11.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",385.0
12410,"Running curved treadmill, 5.0 to 5.9 mph",Running,11.0,11.0,Berat,True,Treadmill,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",385.0
12070,"Running, 7 mph (8.5 min/mile)",Running,11.0,11.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",385.0
18385,"Windsurfing or kitesurfing, crossing trial ",Windsurfing or kitesurfing,11.0,11.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",385.0
17313,"Walking, for exercise, with ski poles, Nordic walking, level ground, carrying 20 to 30 lb load (9.0 to 15.0 kg)",Walking,10.8,10.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",378.0
1236,"Bicycling, stationary, 200-229 watts, vigorous",Cycling,10.8,10.8,Berat,True,Stationary bike,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",378.0
15118,"Boxing, punching bag, 180 b/min",Boxing,10.8,10.8,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",378.0
2085,"Slide board exercise, general",Slide board exercise,10.5,10.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",367.5
15536,"Rock climbing, speed climbing, very difficult",Rock climbing,10.5,10.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",367.5
15539,"Rock climbing, treadwall, 7-10 m/min",Rock climbing,10.5,10.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",367.5
15538,"Rock climbing, treadwall, 4-6 m/min",Rock climbing,10.5,10.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",367.5
19047,"Skating Treadmill, 8 - 8.9 mph, 2% grade",Skating Treadmill,10.5,10.5,Berat,True,Treadmill,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",367.5
15597,"Skateboard, longboard, 13.3 km/h, fast speed",Skateboard,10.5,10.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",367.5
18280,"Swimming, crawl, fast speed, ~75 yards/minute,  vigorous effort ",Swimming,10.5,10.5,Berat,True,Swimming pool,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",367.5
18285,"Swimming, open water, 5k",Swimming,10.5,10.5,Berat,True,Swimming pool,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",367.5
15205,Floorball,Floorball,10.5,10.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",367.5
2082,"Ski ergometer, cross country, double poling, slow to moderate speed",Ski ergometer,10.5,10.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",367.5
12145,"Running, self-selected pace",Running,10.5,10.5,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",367.5
19320,"Rollerskiing, 20 - 23.9 km/h, no incline",Rollerskiing,10.5,10.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",367.5
12060,"Running, 6.7 mph (9 min/mile)",Running,10.5,10.5,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",367.5
18260,"Swimming, breaststroke, general, training or  competition ",Swimming,10.3,10.3,Berat,True,Swimming pool,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",360.5
1232,"Bicycling, stationary, 151-199 watts",Cycling,10.3,10.3,Berat,True,Stationary bike,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",360.5
15525,"Race Walking, 3.1 m/s (6.9 mph)",Walking,10.3,10.3,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",360.5
3080,"Musical Theater, Singing/dancing",Musical Theater,10.3,10.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",360.5
18440,"Aquatic cycling, 90+ RPM",Aquatic cycling,10.3,10.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",360.5
19405,"Mountaineering, downhill climbing/cross-country skiing",Mountaineering,10.3,10.3,Berat,False,None,Outdoor,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",360.5
15430,"Martial Arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwon do, tai-bo, Muay Thai boxing)",Martial Arts,10.3,10.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",360.5
12255,"Running uphill, 4.5mph, 5% incline",Running,10.3,10.3,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",360.5
15702,"Trampoline, competitive",Trampoline,10.3,10.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",360.5
12337,"Running uphill, 0.8 to 0.99 mph, 30% incline",Running,10.3,10.3,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",360.5
12593,"Running, jogging stroller, outdoors, 5 mph",Running,10.0,10.0,Berat,True,None,Outdoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",350.0
19192,"Snow shoeing, vigorous effort",Snow shoeing,10.0,10.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",350.0
15362,"Hockey, ice, competitive",Hockey,10.0,10.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",350.0
2007,Aerobic dance wearing 10-15 lb weights ,Aerobic dance wearing 10-15 lb weights,10.0,10.0,Berat,True,Weights,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",350.0
15554,"Rope jumping, double under or more",Rope jumping,10.0,10.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",350.0
15490,"Paddleball, competitive",Paddleball,10.0,10.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",350.0
15520,"Racquetball, competitive",Racquetball,10.0,10.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",350.0
19046,"Skating Treadmill, 7 - 7.9 mph, 2% grade",Skating Treadmill,10.0,10.0,Berat,True,Treadmill,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",350.0
18360,Water polo ,Water polo,10.0,10.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",350.0
15734,"Track and field (e.g., steeplechase, hurdles)",Track and field (e.g.,10.0,10.0,Berat,False,None,Outdoor,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",350.0
17029,"Carrying load, 50 to 74 lb load, upstairs",Carrying load,10.0,10.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",350.0
17037,"Climbing hills, no load, 4.0 to 5.0 mph, 3 to 5% grade, very fast pace",Climbing hills,10.0,10.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",350.0
1040,"Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort",Cycling,10.0,10.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",350.0
17060,"Climbing hills, 20+ pound load, 5 to 20% grade, moderate to brisk pace",Climbing hills,10.0,10.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",350.0
12180,"Running, on a track, team practice",Running,10.0,10.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",350.0
4081,"Hunting large game, dragging carcass",Hunting large game,9.8,9.8,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",343.0
12512,"Running, 7.0 - 7.9 mph, 1.0 to 3.0 kg backpack",Running,9.8,9.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",343.0
22360,"Conditioning/exercise virtual reality fitness, vigorous intensity",Conditioning,9.8,9.8,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",343.0
15592,"Roller blading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training",Roller blading,9.8,9.8,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",343.0
18377,"Water running, 60 steps/min, very fast",Water running,9.8,9.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",343.0
18366,"Water jogging, vigorous effort ",Water jogging,9.8,9.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",343.0
15203,"Fencing, epee, competitive",Fencing,9.8,9.8,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",343.0
